renovation,area,city,floor,rooms,house_floors,house_wall_type,build_year,price
,30.0,Новосибирск,4,1,9,Панельный,1977,2998980.0
,30.0,Новосибирск,2,1,4,Кирпичный,1963,2550000.0
Отсутствует,31.0,Новосибирск,3,1,5,Панельный,1966,2799982.0
Косметический,31.0,Новосибирск,1,1,3,Кирпичный,1961,2499995.0
Косметический,30.0,Новосибирск,5,1,5,Панельный,1982,2970000.0
С отделкой,25.3,Новосибирск,2,1,9,Кирпичный,1975,2649997.9
Косметический,30.9,Новосибирск,5,1,5,Кирпичный,1965,2649984.0
Косметический,30.0,Новосибирск,5,1,5,Панельный,1980,2899980.0
Отсутствует,22.1,Новосибирск,1,1,5,Кирпичный,1972,2989997.4000000004
Косметический,29.0,Новосибирск,1,1,5,Панельный,1965,2969977.0
,28.8,Новосибирск,1,1,5,Панельный,1975,2999980.8000000003
Косметический,31.9,Новосибирск,5,1,5,Кирпичный,1965,2899997.1
,28.9,Новосибирск,1,1,9,Панельный,1971,2999993.4
,21.0,Новосибирск,2,1,9,Кирпичный,1977,2799993.0
,30.9,Новосибирск,2,1,5,Кирпичный,1969,2899995.9
Отличный,20.0,Новосибирск,4,1,5,Кирпичный,1969,2850000.0
,31.5,Новосибирск,4,1,9,Панельный,1972,2899984.5
,34.0,Новосибирск,8,1,9,Панельный,1985,2799968.0
Косметический,24.6,Новосибирск,9,1,9,Кирпичный,1979,2699997.6
,22.0,Новосибирск,5,0,18,Панельный,2020,2519990.0
Косметический,44.6,Новосибирск,1,2,5,Панельный,1971,3649974.8000000003
,32.3,Новосибирск,9,1,9,Кирпичный,1973,2749989.6999999997
Косметический,42.0,Новосибирск,1,2,5,Кирпичный,1963,3619980.0
,44.4,Новосибирск,1,2,5,Панельный,1971,3549957.6
Косметический,46.0,Новосибирск,2,2,5,Панельный,1967,3399998.0
,44.0,Новосибирск,1,2,5,Кирпичный,1963,3499980.0
Отсутствует,43.2,Новосибирск,2,2,5,Панельный,1968,3349987.2
,43.2,Новосибирск,1,2,5,Панельный,1967,3599985.6
,43.0,Новосибирск,2,2,2,Блочный,1959,3199974.0
Отсутствует,42.0,Новосибирск,1,2,4,Кирпичный,1963,3299982.0
Косметический,43.7,Новосибирск,2,2,4,Кирпичный,1962,3399991.1
Косметический,43.8,Новосибирск,3,2,5,Кирпичный,1969,3199984.1999999997
,44.3,Новосибирск,1,2,5,Панельный,1965,3499965.8
,37.0,Новосибирск,1,2,2,Кирпичный,1959,3099971.0
Косметический,44.0,Новосибирск,2,2,5,Панельный,1967,3249972.0
,37.9,Новосибирск,1,2,2,Блочный,1960,3099992.6
Косметический,47.0,Новосибирск,1,2,2,Деревянный,1958,2900652.0
Косметический,42.3,Новосибирск,2,2,2,Кирпичный,1970,3099997.8
,41.5,Новосибирск,3,2,3,Кирпичный,1964,3249989.5
,52.1,Новосибирск,2,2,4,Кирпичный,1929,2999970.1
Отсутствует,46.2,Новосибирск,1,2,5,Панельный,1965,2999997.0
Отсутствует,42.0,Новосибирск,1,2,2,Кирпичный,1954,2649990.0
Косметический,41.9,Новосибирск,2,2,2,Блочный,1959,2869982.4
,42.1,Новосибирск,1,2,2,Кирпичный,1954,2699999.3000000003
,42.1,Новосибирск,1,2,2,Кирпичный,1954,2799986.8000000003
,53.0,Новосибирск,1,2,4,Кирпичный,1929,3069972.0
Косметический,44.8,Новосибирск,3,2,3,Кирпичный,1939,2800000.0
,53.2,Новосибирск,3,2,4,Кирпичный,1929,3149972.0
,42.2,Новосибирск,2,2,5,Кирпичный,1962,3199983.8000000003
,42.0,Новосибирск,1,2,2,Блочный,1959,2999976.0
Частичный ремонт,40.0,Новосибирск,2,2,3,Кирпичный,1956,2980000.0
Отсутствует,44.8,Новосибирск,3,2,4,Кирпичный,1964,3099980.8
,44.3,Новосибирск,4,2,5,Панельный,1968,3049966.4
Косметический,43.6,Новосибирск,1,2,4,Кирпичный,1964,3049994.4
Косметический,39.5,Новосибирск,2,2,5,Кирпичный,1961,2999985.5
Отсутствует,42.3,Новосибирск,2,2,4,Кирпичный,1962,3299992.1999999997
Косметический,36.6,Новосибирск,1,2,2,Кирпичный,1958,3099983.4
,41.3,Новосибирск,3,2,3,Кирпичный,1962,2929987.1999999997
Отсутствует,44.3,Новосибирск,5,2,5,Панельный,1970,3099981.0999999996
Косметический,44.2,Новосибирск,5,2,5,Панельный,1971,3099967.0
Хороший,43.7,Новосибирск,1,2,5,Панельный,1978,3449983.9000000004
Хороший,42.7,Новосибирск,1,2,2,Блочный,1961,3399987.5
Косметический,35.0,Новосибирск,5,2,5,Кирпичный,1973,3089975.0
,39.5,Новосибирск,1,2,5,Кирпичный,1980,3349995.0
Косметический,30.0,Новосибирск,5,2,9,Кирпичный,1979,2899980.0
Косметический,40.0,Новосибирск,2,2,3,Кирпичный,1964,3370000.0
,44.0,Новосибирск,2,2,5,Кирпичный,1970,3499980.0
Косметический,30.0,Новосибирск,9,1,9,Панельный,1970,2749980.0
,34.0,Новосибирск,5,1,9,Кирпичный,1990,2749988.0
,31.0,Новосибирск,6,1,9,Панельный,1987,2929996.0
,43.9,Новосибирск,2,2,5,Панельный,1967,3499971.4
Косметический,44.0,Новосибирск,1,2,5,Панельный,1968,3699960.0
Косметический,42.5,Новосибирск,2,2,4,Кирпичный,1962,3749987.5
Косметический,45.0,Новосибирск,1,2,5,Панельный,1968,3799980.0
Косметический,31.6,Новосибирск,5,1,5,Кирпичный,1962,3299988.0
Косметический,31.8,Новосибирск,5,1,5,Кирпичный,1963,3199970.4
Косметический,30.0,Новосибирск,8,1,9,Панельный,1981,2899980.0
,43.0,Новосибирск,3,2,5,Панельный,1967,3699978.0
Косметический,44.0,Новосибирск,1,2,5,Панельный,1968,3689972.0
Косметический,29.5,Новосибирск,4,1,5,Кирпичный,1971,3149980.5
,29.1,Новосибирск,2,1,5,Панельный,1978,3259985.7
Хороший,43.5,Новосибирск,4,2,5,Панельный,1966,3609978.0
,43.8,Новосибирск,4,2,5,Кирпичный,1961,3599965.8
,29.0,Новосибирск,1,1,5,Кирпичный,1969,3249972.0
Косметический,45.0,Новосибирск,5,2,5,Панельный,1969,3399975.0
Косметический,46.0,Новосибирск,5,2,5,Панельный,1967,3399998.0
Косметический,43.1,Новосибирск,5,2,5,Панельный,1965,3499978.6
Косметический,31.1,Новосибирск,1,1,4,Кирпичный,1962,3199972.3000000003
,31.1,Новосибирск,2,1,5,Кирпичный,1965,3199972.3000000003
,29.0,Новосибирск,2,1,5,Панельный,1968,3149980.0
,43.7,Новосибирск,5,2,5,Панельный,1970,3198971.1
,44.8,Новосибирск,5,2,5,Кирпичный,1971,3349964.8
Отсутствует,32.4,Новосибирск,1,1,5,Кирпичный,1961,3199986.0
Косметический,28.0,Новосибирск,1,1,3,Блочный,1961,3099992.0
,33.5,Новосибирск,2,1,5,Кирпичный,1959,3049974.0
,33.3,Новосибирск,3,1,5,Кирпичный,1977,2959970.4
,44.0,Новосибирск,4,2,5,Кирпичный,1966,3275976.0
Отсутствует,43.7,Новосибирск,5,2,5,Панельный,1970,3549969.5
Отсутствует,32.1,Новосибирск,1,1,5,Панельный,1965,3199984.8000000003
Частичный ремонт,30.0,Новосибирск,3,1,5,Панельный,1990,3000000.0
,34.6,Новосибирск,3,1,3,Кирпичный,1949,3899973.6
Косметический,29.0,Новосибирск,5,1,5,Панельный,1984,2999992.0
Косметический,31.0,Новосибирск,2,1,5,Кирпичный,1962,3899986.0
,32.0,Новосибирск,3,1,5,Кирпичный,1959,3800000.0
С отделкой,28.4,Новосибирск,3,1,5,Кирпичный,1970,3699980.4
Косметический,34.7,Новосибирск,2,1,3,Кирпичный,1951,3799997.0000000005
Отсутствует,36.77,Казань,9,1,9,Кирпично-монолитный,2024,7299984.870000001
,31.0,Новосибирск,3,1,5,Кирпичный,1963,3489980.0
Отсутствует,31.0,Новосибирск,2,1,5,Кирпичный,1965,3789998.0
,43.3,Казань,8,1,10,Кирпичный,2014,7099987.6
,32.0,Казань,8,1,9,Кирпичный,2021,7049984.0
Хороший,30.0,Новосибирск,1,1,5,Панельный,1970,3669990.0
Косметический,31.1,Новосибирск,3,1,5,Кирпичный,1968,3349998.7
,37.7,Новосибирск,3,1,3,Монолитный,2016,3399974.5000000005
Отсутствует,22.0,Новосибирск,1,1,5,Кирпичный,1971,3549986.0
Дизайнерский,46.1,Казань,8,1,10,Кирпичный,2012,6949989.9
Отсутствует,37.8,Новосибирск,3,1,3,Кирпичный,2022,3392965.8
,28.4,Новосибирск,1,1,5,Кирпичный,1965,3499987.5999999996
,42.6,Казань,9,1,10,Кирпичный,2013,6700000.2
Косметический,46.5,Казань,9,1,10,Кирпичный,2023,6899995.5
Косметический,28.8,Новосибирск,1,1,5,Панельный,1972,3333312.0
Косметический,45.1,Казань,8,1,9,Кирпичный,2005,6899984.3
Косметический,29.0,Новосибирск,1,1,5,Панельный,1976,3629988.0
Отсутствует,48.0,Казань,10,1,10,Кирпичный,2023,6799968.0
,28.2,Новосибирск,1,1,5,Панельный,1976,3499986.6
,29.2,Новосибирск,2,1,5,Кирпичный,1976,3599980.4
Отсутствует,28.6,Новосибирск,2,1,5,Панельный,1975,3349975.2
,21.7,Новосибирск,1,1,5,Кирпичный,1972,3599986.6
