renovation,area,city,floor,rooms,house_floors,house_wall_type,build_year,price
Косметический,32.9,Казань,3,1,9,Панельный,1981,5499991.7
Косметический,45.0,Казань,5,2,5,Кирпичный,1965,4979970.0
Косметический,32.4,Казань,5,1,5,Кирпичный,2008,5249998.8
,36.9,Казань,1,1,10,Панельный,2008,5449982.399999999
,46.0,Казань,5,2,5,Панельный,1964,4998958.0
Косметический,42.1,Казань,4,2,5,Кирпичный,1964,4949991.7
Косметический,42.7,Казань,1,1,10,Панельный,2006,5349968.4
Отсутствует,46.0,Казань,3,2,5,Смешанные,1969,5199978.0
Косметический,44.7,Казань,5,2,5,Панельный,1962,4999963.2
,39.0,Казань,3,2,3,Кирпичный,1958,4799964.0
Косметический,40.0,Казань,3,2,4,Кирпичный,1959,4800000.0
Косметический,43.3,Казань,1,1,10,Панельный,2002,5199983.6
Косметический,36.0,Казань,5,2,5,Панельный,1969,4749984.0
Косметический,44.2,Казань,2,2,5,Панельный,1969,5189964.0
,42.9,Казань,2,2,5,Кирпичный,1965,4749973.8
Косметический,43.7,Казань,2,2,5,Кирпичный,1964,4749971.5
Отсутствует,43.8,Казань,4,2,5,Иные,1966,4799998.199999999
Косметический,41.9,Казань,4,2,4,Кирпичный,1964,4699964.899999999
,41.2,Казань,1,2,5,Иные,1968,5198986.800000001
,47.5,Казань,2,2,5,Иные,1974,4599995.0
,44.0,Казань,2,2,5,Панельный,1961,5198996.0
Косметический,39.4,Казань,1,2,5,Кирпичный,1959,4599989.399999999
,49.0,Казань,2,2,3,Кирпичный,1953,4499964.0
Косметический,43.0,Казань,1,2,5,Панельный,1968,5179995.0
Косметический,44.9,Казань,1,2,5,Кирпичный,1958,4349956.899999999
Отсутствует,44.0,Казань,1,2,3,Кирпичный,1962,4419976.0
,45.3,Казань,2,2,5,Панельный,1970,5099964.6
Отсутствует,45.7,Казань,1,2,3,Кирпичный,1959,4499987.600000001
Косметический,44.0,Казань,2,2,5,Кирпичный,1963,4349972.0
,40.5,Казань,2,2,3,Кирпичный,1960,4298994.0
Отсутствует,45.5,Казань,1,2,5,Кирпичный,1969,4349982.0
,36.5,Казань,1,2,5,Кирпичный,1961,4298970.0
Косметический,44.7,Казань,2,2,2,Кирпичный,1959,4399999.800000001
,42.2,Казань,1,2,5,Кирпичный,1964,4099983.2
Косметический,39.3,Казань,1,2,2,Кирпичный,1961,4099972.4999999995
,43.0,Казань,1,2,5,Панельный,1972,4198993.0
Косметический,40.9,Казань,2,2,5,Кирпичный,1984,4099979.5999999996
Косметический,40.0,Казань,1,2,5,Кирпичный,1962,4200000.0
Отсутствует,41.7,Казань,1,2,5,Кирпичный,1967,3899992.5000000005
,43.0,Казань,2,2,5,Панельный,1966,4999997.0
,43.3,Казань,1,2,5,Кирпичный,1971,4999980.899999999
,46.0,Казань,1,2,5,Иные,1962,4899966.0
Отсутствует,42.8,Казань,3,2,5,Кирпичный,1966,3998975.1999999997
,36.8,Казань,3,2,5,Панельный,1971,3959974.4
,47.4,Казань,1,2,5,Кирпичный,1963,3999991.1999999997
,45.0,Казань,1,2,5,Панельный,1966,4849965.0
Косметический,42.7,Казань,1,2,5,Панельный,1968,4999999.2
Отсутствует,41.9,Казань,1,2,5,Кирпичный,1960,4848961.3
Отсутствует,45.6,Казань,3,2,3,Кирпичный,1956,3999986.4
Косметический,43.6,Казань,4,2,4,Кирпичный,1967,3999994.8000000003
Косметический,47.9,Казань,1,2,5,Кирпичный,1974,3899970.1
,43.0,Казань,1,2,3,Кирпичный,1962,3899971.0
Косметический,42.0,Казань,1,2,5,Кирпичный,1960,4899972.0
,42.0,Казань,1,2,4,Блочный,1961,4799970.0
Косметический,40.9,Казань,2,2,2,Кирпичный,1962,4399981.1
,45.5,Казань,2,2,5,Кирпичный,1968,3699969.0
Хороший,40.1,Казань,5,2,5,Кирпичный,1967,3799996.3000000003
Косметический,41.0,Казань,1,2,3,Кирпичный,1959,3690000.0
Косметический,45.2,Казань,2,2,3,Кирпичный,1960,4989989.600000001
,40.6,Казань,2,2,5,Кирпичный,1961,5189979.2
,46.0,Казань,2,2,9,Панельный,1977,4598988.0
,41.0,Казань,4,2,5,Кирпичный,1974,3849982.0
Отсутствует,45.0,Казань,4,2,5,Кирпичный,1974,3599955.0
Отсутствует,41.5,Казань,5,2,5,Кирпичный,1964,3799989.0
Косметический,42.7,Казань,3,2,5,Кирпичный,1965,4499982.2
,44.0,Казань,3,2,5,Кирпичный,1960,5149980.0
Косметический,41.3,Казань,1,2,5,Кирпичный,1959,5099971.8
,23.0,Казань,5,2,5,Кирпичный,1973,3479992.0
Отсутствует,34.2,Казань,3,2,5,Кирпичный,1983,3599994.6
Отсутствует,49.9,Казань,2,2,3,Кирпичный,1959,4749981.0
Косметический,46.9,Казань,2,2,5,Панельный,1962,4999962.1
Отсутствует,42.0,Казань,2,2,5,Кирпичный,1963,4698960.0
,46.0,Казань,2,2,5,Блочный,1964,5099974.0
Косметический,35.3,Казань,3,2,5,Кирпичный,1983,3589974.6999999997
Косметический,44.8,Казань,1,2,5,Кирпичный,1969,5199980.8
Отсутствует,40.9,Казань,5,2,5,Кирпичный,1972,4749962.399999999
Косметический,41.7,Казань,3,2,3,Кирпичный,1962,4799961.9
Косметический,44.8,Казань,1,2,5,Кирпичный,1974,4699968.0
Отсутствует,44.3,Казань,1,2,5,Панельный,1988,3599995.1999999997
Косметический,46.0,Казань,4,2,5,Панельный,1969,5099974.0
Косметический,30.8,Казань,4,1,5,Кирпичный,2010,4999979.600000001
,30.8,Казань,4,1,5,Кирпичный,2009,5169995.600000001
Косметический,45.0,Казань,4,2,5,Кирпичный,1965,4979970.0
,47.0,Казань,4,2,5,Панельный,1970,4998967.0
Отсутствует,47.7,Казань,5,2,5,Панельный,1960,4899982.5
,33.0,Казань,8,1,10,Панельный,2006,4989996.0
,34.6,Казань,5,1,10,Кирпичный,2019,4899982.8
Отсутствует,25.1,Казань,3,1,7,Кирпичный,2021,4749999.3
,42.0,Казань,4,2,4,Кирпичный,1964,4849992.0
Отсутствует,47.0,Казань,5,2,5,Панельный,1972,4999954.0
,41.0,Казань,8,1,9,Кирпичный,1993,4769981.0
,33.2,Казань,9,1,9,Панельный,1990,4899988.0
Отсутствует,25.1,Казань,3,1,7,Монолитный,2021,4579997.0
Отсутствует,33.0,Казань,8,1,10,Кирпичный,2006,4899972.0
,45.8,Казань,5,2,5,Панельный,1970,4949972.399999999
Отсутствует,35.8,Казань,8,1,9,Кирпичный,1985,4799992.399999999
Косметический,34.9,Казань,8,1,9,Кирпичный,1985,4799971.5
Косметический,42.0,Казань,4,2,5,Кирпичный,1991,5099976.0
Косметический,37.3,Казань,8,1,9,Кирпичный,1998,4699986.5
Косметический,41.9,Казань,5,2,5,Кирпичный,1973,4879967.3
,29.0,Казань,9,1,9,Кирпичный,1974,4699972.0
,41.9,Казань,5,2,5,Кирпичный,1973,4839994.7
,35.3,Казань,2,1,10,Панельный,1997,5599992.0
Косметический,33.6,Казань,3,1,9,Панельный,1992,5498976.0
Косметический,46.6,Казань,3,2,10,Кирпичный,1982,4999993.600000001
,48.0,Казань,5,2,9,Кирпичный,1982,4789968.0
,39.3,Казань,2,1,9,Панельный,2000,5499995.699999999
,33.4,Казань,2,1,10,Кирпичный,2021,5389991.8
Отсутствует,46.4,Казань,2,1,10,Панельный,2007,5499977.6
Отсутствует,35.9,Казань,2,1,7,Монолитный,2021,5599969.2
Косметический,48.9,Казань,2,2,9,Кирпичный,1977,4899975.6
,33.1,Казань,1,1,9,Иные,1985,5749999.600000001
Косметический,31.1,Казань,2,1,10,Кирпичный,2020,5499972.8
Отсутствует,43.48,Казань,1,1,10,Блочный,2023,5499959.119999999
,37.3,Казань,1,1,10,Панельный,1999,5704997.699999999
Косметический,35.0,Казань,1,1,10,Панельный,1998,5999980.0
,32.0,Казань,1,1,5,Кирпичный,1967,5609984.0
,31.4,Казань,1,1,5,Кирпичный,1973,5699979.2
,35.0,Казань,1,1,10,Кирпичный,2007,5649980.0
,37.0,Казань,4,1,10,Иные,2008,5550000.0
Косметический,32.5,Казань,2,1,5,Кирпичный,1967,5499975.0
Косметический,35.0,Казань,2,1,5,Панельный,1965,5499970.0
,29.4,Казань,2,1,5,Иные,1966,5489979.6
Косметический,44.0,Казань,4,1,10,Панельный,2010,5500000.0
,36.8,Казань,4,1,10,Панельный,2006,5549992.0
,30.1,Казань,2,1,5,Панельный,1966,5299977.9
Косметический,32.0,Казань,3,1,5,Панельный,1970,5398976.0
,33.6,Казань,4,1,7,Иные,1999,5593996.8
Косметический,36.3,Казань,7,1,9,Панельный,1986,5099968.5
,42.0,Казань,2,2,9,Кирпичный,2018,5349960.0
,30.6,Казань,2,1,5,Кирпичный,1970,5299981.2
,30.6,Казань,3,1,5,Панельный,1965,5199980.4
,36.3,Казань,7,1,9,Панельный,1986,5099968.5
Косметический,26.9,Казань,8,1,9,Кирпичный,2002,4899996.399999999
,38.0,Казань,1,1,9,Панельный,1989,5999972.0
,36.0,Казань,10,1,10,Панельный,1991,5298984.0
,30.0,Казань,4,1,5,Кирпичный,1963,5100000.0
,29.0,Казань,4,1,5,Блочный,1968,5199990.0
Косметический,35.0,Казань,9,1,9,Панельный,1986,5189975.0
Отсутствует,35.0,Казань,9,1,9,Панельный,1986,5178985.0
,32.1,Казань,5,1,5,Панельный,1962,5098988.7
Косметический,37.4,Казань,9,1,9,Панельный,1986,5158993.399999999
Косметический,33.1,Казань,8,1,9,Иные,1981,4999986.7
,33.4,Казань,9,1,9,Панельный,1979,5098977.6
,35.8,Казань,10,1,14,Кирпичный,1981,5499989.8
Косметический,35.8,Казань,9,1,9,Кирпичный,1989,5399964.6
,35.6,Казань,7,1,10,Кирпичный,1995,5349968.0
,37.0,Казань,6,1,9,Кирпичный,1990,5199980.0
Косметический,31.0,Казань,8,1,9,Кирпичный,1977,4949987.0
Косметический,36.3,Казань,5,1,9,Панельный,1992,5399988.0
Косметический,37.3,Казань,5,1,10,Кирпичный,1995,5669973.0
,36.6,Казань,8,1,10,Иные,2008,5499991.8
,30.8,Казань,14,1,14,Панельный,2018,5299971.600000001
Отсутствует,32.0,Казань,12,1,19,Кирпичный,2022,5500000.0
Отсутствует,30.7,Казань,12,1,20,Кирпичный,2021,5149986.399999999
Чистовая отделка,30.9,Казань,8,1,17,Панельный,2024,5399991.3
Косметический,35.0,Казань,9,1,10,Панельный,1995,5599965.0
Косметический,31.3,Казань,10,1,20,Кирпичный,2019,5189978.2
Отсутствует,34.64,Казань,13,1,20,Монолитный,2023,4849981.04
,29.7,Казань,2,1,19,Панельный,2019,5198985.0
Косметический,36.4,Казань,2,1,16,Кирпичный,2013,5249972.0
Отсутствует,31.9,Казань,14,1,17,Кирпичный,2022,5049993.3
Отсутствует,29.25,Казань,1,1,17,Монолитный,2020,5099971.5
Косметический,35.6,Казань,2,1,20,Монолитный,2017,5149967.2
Отсутствует,34.0,Казань,14,1,20,Кирпично-монолитный,2023,4999972.0
Дизайнерский,24.7,Казань,1,1,19,Монолитный,2019,5199992.2
,36.4,Казань,2,1,18,Кирпичный,2013,5299985.6
Отсутствует,38.47,Казань,7,1,20,Монолитный,2021,5099967.899999999
Отсутствует,33.7,Казань,9,1,20,Кирпичный,2023,4899980.0
Дизайнерский,25.5,Казань,1,0,20,Монолитный,2018,4799992.5
,26.1,Казань,8,0,19,Кирпично-монолитный,2021,4649976.0
,43.7,Казань,2,1,10,Кирпичный,2012,6099995.600000001
Косметический,36.6,Казань,10,1,10,Панельный,1996,5849997.600000001
Косметический,38.2,Казань,7,1,9,Панельный,1996,5699974.800000001
,39.2,Казань,3,1,10,Кирпично-монолитный,2010,5989995.2
,35.0,Казань,9,1,10,Панельный,2003,5849970.0
Косметический,31.2,Казань,10,1,10,Панельный,1996,5799986.399999999
Отсутствует,33.49,Казань,3,1,11,Кирпичный,2023,6199970.21
,25.4,Казань,6,1,9,Кирпичный,2016,6249974.8
Косметический,33.7,Казань,4,1,9,Кирпичный,2015,5919977.9
Косметический,34.8,Казань,5,1,9,Кирпичный,2012,6299983.199999999
,32.5,Казань,4,1,5,Кирпичный,2014,5699980.0
,33.0,Казань,4,1,9,Кирпичный,2014,6099984.0
Косметический,40.1,Казань,4,1,6,Кирпичный,2007,6299990.7
,37.0,Казань,6,1,7,Кирпичный,2021,6199979.0
Косметический,38.3,Казань,5,1,6,Кирпичный,2010,5949981.6
,33.9,Казань,5,1,9,Кирпичный,2012,5999994.899999999
,36.0,Казань,5,1,10,Иные,1996,6099984.0
,35.0,Казань,8,1,8,Железобетон,2017,5999980.0
,31.3,Казань,3,1,6,Кирпичный,2009,5849970.0
Косметический,40.0,Казань,4,1,14,Кирпичный,1988,5900000.0
,40.0,Казань,4,1,14,Кирпичный,1988,6100000.0
,34.4,Казань,9,1,10,Кирпичный,2002,5799977.6
,33.0,Казань,8,1,9,Кирпичный,2004,5949999.0
,39.6,Казань,7,1,10,Кирпичный,2017,5399974.8
,35.9,Казань,10,1,14,Кирпичный,1993,5699986.6
,38.1,Казань,4,1,9,Панельный,1986,5799963.0
,35.1,Казань,8,1,9,Блочный,1989,5649976.8
,33.0,Казань,7,1,10,Панельный,1993,5749986.0
,34.8,Казань,8,1,10,Кирпичный,2000,5749969.199999999
,40.5,Казань,9,1,14,Кирпичный,1988,5689966.5
Косметический,35.5,Казань,7,1,9,Панельный,1989,5649967.0
Косметический,39.0,Казань,13,1,14,Кирпичный,1987,5589987.0
Косметический,34.2,Казань,6,1,9,Панельный,1988,5619983.4
,33.4,Казань,7,1,9,Панельный,1988,5649977.399999999
,36.3,Казань,4,1,10,Монолитный,2022,5199975.0
,37.2,Казань,10,1,10,Кирпичный,1978,5399989.2
Косметический,32.6,Казань,8,1,10,Монолитный,2017,5999997.4
,35.7,Казань,5,1,9,Панельный,1987,6099987.600000001
,35.0,Казань,5,1,9,Кирпичный,1995,5999980.0
Отсутствует,47.6,Казань,2,1,15,Иные,2001,5799964.8
,32.9,Казань,3,1,9,Панельный,1987,5998986.0
,32.0,Казань,5,1,9,Панельный,1982,5900000.0
,33.0,Казань,10,1,10,Панельный,1998,5099985.0
Косметический,40.5,Казань,8,1,14,Кирпичный,1998,5799964.5
Отсутствует,33.2,Казань,9,1,10,Панельный,1990,4999986.4
Отсутствует,38.0,Казань,6,1,17,Панельный,2023,5599984.0
,34.0,Казань,5,1,9,Панельный,1990,5899986.0
Дизайнерский,38.0,Казань,6,1,9,Панельный,1976,5899994.0
Косметический,33.3,Казань,9,1,10,Кирпичный,1989,5199994.8
,33.5,Казань,16,1,18,Панельный,2022,5559995.0
,35.6,Казань,7,1,9,Панельный,1980,5899988.0
Косметический,33.0,Казань,2,1,5,Панельный,1963,5689992.0
Отсутствует,35.97,Казань,12,1,20,Панельный,2022,5619988.77
Косметический,33.1,Казань,12,1,17,Кирпичный,2020,5589994.2
,32.0,Казань,2,1,5,Кирпичный,1961,5688000.0
,36.39,Казань,15,1,23,Кирпичный,2023,5399984.88
,33.0,Казань,10,1,10,Панельный,1990,5249970.0
,33.2,Казань,8,1,9,Панельный,1984,4999986.4
,41.8,Казань,4,1,5,Кирпичный,2015,5998968.8
Дизайнерский,33.01,Казань,9,1,10,Кирпичный,2018,6399978.8
,44.1,Казань,5,1,5,Кирпичный,2016,6199974.9
Косметический,30.3,Казань,3,1,4,Кирпичный,2007,5999975.7
Отсутствует,34.5,Казань,17,1,23,Кирпичный,2023,5199978.0
Косметический,36.6,Казань,10,1,10,Кирпичный,2010,6399985.8
Отсутствует,27.5,Казань,18,1,25,Панельный,2018,5098995.0
,42.0,Казань,1,1,5,Кирпичный,2016,5899992.0
Отсутствует,37.0,Казань,21,1,23,Кирпичный,2023,5099969.0
Отсутствует,34.0,Казань,17,1,23,Монолитный,2022,4999972.0
Отсутствует,33.2,Казань,9,1,10,Кирпично-монолитный,2021,6299998.800000001
Отсутствует,31.6,Казань,24,1,25,Кирпично-монолитный,2022,4949982.0
,31.0,Казань,11,1,14,Панельный,2018,5869974.0
Отсутствует,34.0,Казань,16,2,23,Монолитный,2023,5100000.0
,36.6,Казань,10,1,10,Панельный,1996,6099975.600000001
Дизайнерский,34.3,Казань,10,1,19,Железобетон,2018,5899977.3
,34.3,Казань,10,1,10,Панельный,2002,6049971.199999999
,37.5,Казань,8,1,14,Кирпичный,1998,6099975.0
,33.5,Казань,8,1,19,Монолитный,2023,5799989.0
,32.0,Казань,9,1,19,Монолитный,2019,5555488.0
,33.3,Казань,8,1,9,Панельный,1979,6099993.899999999
,35.3,Казань,7,1,19,Кирпичный,2021,5799966.499999999
,33.0,Казань,7,1,7,Панельный,2002,5999994.0
,36.0,Казань,9,1,14,Кирпичный,1984,6099984.0
Косметический,33.0,Казань,7,1,9,Кирпичный,1976,5999994.0
,46.0,Казань,6,1,16,Панельный,2007,5999964.0
Отсутствует,36.0,Казань,6,1,17,Панельный,2023,5999976.0
Косметический,35.8,Казань,9,1,14,Кирпичный,1981,6179974.999999999
Дизайнерский,31.9,Казань,5,1,19,Монолитный,2020,5799994.2
,37.0,Казань,10,1,11,Железобетон,2016,6249966.0
Косметический,34.2,Казань,4,1,9,Кирпичный,2014,5999979.600000001
,36.1,Казань,1,1,14,Кирпичный,1984,5989964.7
Косметический,37.2,Казань,4,1,5,Кирпичный,2008,5499982.800000001
,43.0,Казань,4,1,20,Монолитный,2017,5789993.0
Косметический,34.9,Казань,6,1,10,Кирпичный,2007,5498983.6
,35.0,Казань,7,1,10,Панельный,2004,6699980.0
Косметический,34.6,Казань,10,1,10,Кирпичный,2017,6799972.600000001
Дизайнерский,34.8,Казань,9,1,10,Кирпичный,2020,6699974.399999999
Косметический,44.0,Казань,6,1,9,Кирпичный,2002,6699968.0
,36.0,Казань,10,1,11,Кирпичный,2008,6499980.0
Отсутствует,37.28,Казань,9,1,10,Кирпичный,2017,6499991.680000001
Косметический,38.3,Казань,8,1,10,Панельный,2002,6399968.3
Косметический,33.5,Казань,7,1,9,Панельный,1983,6499971.5
,41.8,Казань,6,1,10,Панельный,2001,6399998.0
,34.6,Казань,10,1,10,Панельный,2000,6499990.600000001
Косметический,36.7,Казань,10,1,10,Кирпичный,2010,6499973.7
,33.1,Казань,6,1,9,Панельный,1980,6549993.5
,33.8,Казань,8,1,9,Панельный,1984,6499976.6
,33.0,Казань,5,1,10,Панельный,1995,6349992.0
Косметический,40.1,Казань,7,1,10,Панельный,1999,6298988.2
,44.0,Казань,9,1,10,Иные,1998,6249980.0
Косметический,40.0,Казань,9,1,10,Кирпичный,2013,7000000.0
Хороший,31.0,Новосибирск,2,1,5,Кирпично-монолитный,1967,3399987.0
Отсутствует,34.0,Казань,9,1,10,Кирпичный,2022,7299970.0
Косметический,34.42,Казань,8,1,9,Кирпичный,2019,7099985.5
,28.6,Казань,5,1,5,Кирпичный,1963,6349972.2
,40.7,Казань,5,1,8,Монолитный,2023,6549973.100000001
Отсутствует,34.6,Казань,4,1,6,Кирпичный,2023,6498987.2
,24.8,Новосибирск,1,1,3,Кирпичный,2012,3299987.2
Отсутствует,32.2,Казань,3,1,5,Кирпичный,1966,6099968.000000001
,48.2,Казань,5,1,10,Монолитно-кирпичный,2023,6299981.0
Косметический,28.9,Казань,4,1,5,Кирпичный,1952,5999986.8
,31.0,Казань,2,1,5,Кирпичный,1974,6099994.0
,30.0,Казань,3,1,5,Кирпичный,1973,6549990.0
Косметический,31.2,Новосибирск,2,1,10,Панельный,1999,3120000.0
Косметический,38.0,Новосибирск,1,1,3,Кирпичный,2016,2998998.0
Косметический,35.9,Казань,4,1,5,Иные,1988,5899985.5
,31.6,Казань,3,1,5,Кирпичный,1966,5799990.4
Дизайнерский,30.0,Казань,3,1,5,Иные,1973,6600000.0
,37.5,Новосибирск,6,1,9,Панельный,1990,2949975.0
,36.6,Казань,2,1,10,Кирпичный,2019,6249999.0
,36.0,Казань,4,1,5,Кирпичный,1988,5699988.0
Отсутствует,32.3,Казань,4,1,5,Кирпичный,1961,5659993.6
Косметический,38.8,Новосибирск,3,1,4,Кирпичный,2014,2948877.5999999996
,31.0,Новосибирск,1,1,10,Панельный,1988,2689994.0
,40.0,Новосибирск,3,1,4,Кирпичный,2011,2950000.0
Косметический,39.1,Казань,1,1,10,Кирпичный,2012,6199969.7
,33.3,Новосибирск,1,1,3,Кирпичный,2016,2899997.0999999996
,34.0,Казань,4,1,5,Панельный,1971,5498990.0
,27.3,Новосибирск,4,1,4,Кирпичный,2017,2899997.1
Косметический,32.1,Казань,5,1,5,Кирпичный,1958,5449970.100000001
,34.0,Казань,5,1,10,Кирпичный,2020,6299996.0
Косметический,33.3,Казань,2,1,5,Кирпичный,1964,5999993.999999999
Косметический,32.0,Казань,3,1,5,Кирпичный,1970,5999968.0
,47.4,Казань,4,1,5,Панельный,1963,6498966.6
Косметический,32.0,Новосибирск,1,1,6,Панельный,2014,3149984.0
Дизайнерский,45.0,Казань,5,1,10,Кирпичный,2018,6399000.0
,32.3,Казань,2,1,5,Панельный,1965,5949982.999999999
Отсутствует,35.1,Казань,6,1,19,Панельный,2022,6099993.9
Дизайнерский,45.0,Казань,3,2,5,Панельный,1971,6499980.0
Косметический,31.2,Казань,2,1,5,Кирпичный,1966,6249984.0
,31.1,Казань,3,1,5,Кирпичный,1968,6149993.9
Косметический,48.2,Казань,5,2,5,Панельный,1963,6499962.800000001
,54.0,Казань,2,2,5,Кирпичный,1976,6319998.0
,38.0,Казань,10,1,12,Монолитный,2018,6099988.0
Косметический,46.8,Казань,3,2,4,Кирпичный,1967,6349964.399999999
,45.0,Казань,3,2,5,Панельный,1970,6199965.0
,50.0,Казань,1,2,5,Кирпичный,1980,6200000.0
,46.7,Казань,3,2,5,Панельный,1967,6189991.600000001
,43.9,Казань,4,2,5,Кирпичный,1979,6249999.1
,45.2,Казань,2,2,5,Блочный,1970,6099966.0
,43.7,Казань,1,2,5,Панельный,1970,6149988.4
,43.7,Казань,1,2,5,Панельный,1970,5999966.300000001
Косметический,43.7,Казань,4,2,4,Кирпичный,1965,5999966.300000001
,43.8,Казань,2,2,5,Иные,1973,5998979.399999999
,44.9,Казань,1,2,5,Кирпичный,1966,5989974.3
Косметический,43.0,Казань,1,2,5,Панельный,1968,5989986.0
Косметический,45.0,Казань,1,2,5,Кирпичный,1970,5999985.0
,45.6,Казань,2,2,5,Панельный,1970,5949979.2
Косметический,43.7,Казань,5,2,5,Кирпичный,1962,5999966.300000001
,45.4,Казань,1,2,5,Панельный,1969,5798987.399999999
,46.3,Казань,1,2,5,Панельный,1963,5899962.699999999
Косметический,43.7,Казань,5,2,5,Кирпичный,1962,5889973.4
,43.2,Казань,1,2,5,Кирпичный,1972,5749963.2
Дизайнерский,46.8,Казань,2,2,5,Панельный,1969,5749988.399999999
,42.8,Казань,2,2,5,Панельный,1965,5699975.6
Косметический,47.9,Казань,3,2,5,Панельный,1966,5639985.5
,45.3,Казань,1,2,5,Кирпичный,1964,5548978.199999999
,43.2,Казань,1,2,5,Панельный,1965,5499964.800000001
Косметический,43.8,Казань,4,2,5,Кирпичный,1963,5899991.399999999
Косметический,45.0,Казань,3,2,3,Кирпичный,1960,5499000.0
Косметический,42.6,Казань,2,2,5,Кирпичный,1970,5499958.2
,46.0,Казань,2,2,5,Панельный,1962,5498978.0
Косметический,41.1,Казань,1,2,5,Кирпичный,1961,5499960.9
,37.0,Казань,2,2,5,Кирпичный,1971,5299991.0
,42.6,Казань,2,2,5,Панельный,1965,5399976.0
Косметический,48.3,Казань,4,2,5,Панельный,1967,5299959.0
,45.0,Казань,1,2,5,Кирпичный,1973,5299965.0
Косметический,42.8,Казань,1,2,5,Кирпичный,1962,5299966.8
,45.7,Казань,5,2,5,Панельный,1968,5249970.300000001
,46.7,Казань,2,2,5,Панельный,1974,5499999.100000001
,47.5,Казань,1,2,5,Панельный,1963,5498980.0
Косметический,44.0,Казань,5,2,5,Кирпичный,1974,5199964.0
,45.5,Казань,1,2,5,Панельный,1962,5229997.5
,43.3,Казань,3,2,5,Панельный,1975,5399986.3
Отсутствует,43.0,Казань,4,2,5,Иные,1980,5199990.0
,44.0,Казань,1,2,5,Панельный,1973,5390000.0
,43.5,Казань,3,2,5,Панельный,1966,5249971.5
,42.9,Казань,5,2,5,Кирпичный,1971,5199994.8
Косметический,42.4,Казань,1,2,5,Панельный,1970,5249968.0
,44.0,Казань,2,2,5,Панельный,1968,5399988.0
Косметический,42.7,Казань,2,2,5,Кирпичный,1962,5599976.9
Косметический,44.5,Казань,5,2,5,Панельный,1972,5199958.5
Косметический,43.4,Казань,5,2,5,Панельный,1966,5199971.0
Косметический,42.2,Казань,2,2,5,Кирпичный,1961,5589980.800000001
Отсутствует,48.0,Казань,2,2,5,Панельный,1973,5400000.0
Косметический,46.6,Казань,3,2,5,Панельный,1968,5699972.2
Косметический,45.0,Казань,4,2,5,Кирпичный,1969,5499990.0
,40.0,Казань,4,2,5,Кирпичный,1961,5100000.0
Косметический,46.1,Казань,5,2,5,Панельный,1965,5598983.3
Косметический,44.0,Казань,3,2,5,Панельный,1969,5599000.0
,42.0,Казань,5,2,5,Панельный,1966,5599986.0
Отсутствует,42.0,Казань,4,2,5,Иные,1969,5399982.0
Косметический,43.9,Казань,4,2,5,Кирпичный,1965,5548960.0
Косметический,39.9,Казань,3,2,5,Кирпичный,1970,5649999.6
Косметический,46.5,Казань,5,2,5,Панельный,1967,5549961.0
,43.7,Казань,4,2,5,Смешанные,1970,5549987.4
,47.0,Казань,5,2,5,Иные,1966,5499987.0
Косметический,45.0,Казань,5,2,5,Кирпичный,1961,5499990.0
Косметический,43.7,Казань,5,2,5,Кирпичный,1973,5548982.300000001
Косметический,46.0,Казань,2,2,5,Панельный,1968,5649996.0
Косметический,43.9,Казань,3,2,5,Панельный,1967,5599971.8
,43.0,Казань,4,2,5,Кирпичный,1974,5379988.0
Косметический,44.1,Казань,5,2,5,Кирпичный,1966,5299982.100000001
,42.0,Казань,5,2,5,Кирпичный,1971,5489988.0
,43.7,Казань,5,2,5,Кирпичный,1973,5544961.9
Косметический,43.5,Казань,1,2,5,Кирпичный,1966,5699979.0
Косметический,46.0,Казань,1,2,5,Иные,1964,5750000.0
,45.2,Казань,1,2,5,Кирпичный,1963,5799973.600000001
Косметический,45.7,Казань,5,2,5,Кирпичный,1968,5949957.2
,43.9,Казань,1,2,5,Панельный,1964,5999988.6
Косметический,39.7,Казань,2,2,4,Кирпичный,1961,5699967.2
Косметический,45.8,Казань,1,2,5,Кирпичный,1961,5599966.0
,47.0,Казань,3,2,5,Панельный,1967,6049981.0
,44.1,Казань,1,2,5,Панельный,1967,6199974.9
,48.63,Казань,3,2,5,Панельный,1964,5998996.800000001
Косметический,45.7,Казань,4,2,5,Иные,1970,5989990.4
,43.0,Казань,4,2,5,Панельный,1965,6099980.0
,48.0,Казань,5,2,5,Иные,1965,5998992.0
,46.0,Казань,5,2,5,Кирпичный,1968,5999964.0
,42.7,Казань,5,2,5,Панельный,1974,6399961.4
,43.9,Казань,4,2,4,Кирпичный,1976,5949986.5
Косметический,46.6,Казань,4,2,5,Кирпичный,1960,5799975.8
Косметический,42.2,Казань,5,2,5,Панельный,1967,5899982.0
Косметический,32.6,Казань,10,1,10,Кирпичный,2011,6099981.600000001
Косметический,49.3,Казань,5,2,5,Кирпичный,1985,6199968.0
,46.9,Казань,3,2,5,Панельный,1966,6099954.7
Косметический,44.7,Казань,4,2,5,Кирпичный,1961,5749984.5
,44.5,Казань,5,2,5,Кирпичный,1979,5899988.0
Косметический,43.0,Казань,4,2,5,Иные,1965,6099980.0
,47.0,Казань,6,2,6,Кирпичный,1975,5989962.0
,47.0,Казань,5,2,5,Панельный,1965,5549995.0
Косметический,49.3,Казань,5,2,5,Кирпичный,1985,6149977.8
